Модель,Цена,Год выпуска,Пробег,Кузов,Объем,Мощность,Коробка,Тип двигателя,Топливо,Расход,Привод,Разгон,"Максимальная скорость, км/ч",Страна марки,Класс,Цвет,Состояние,Владельцы,ПТС
LADA (ВАЗ) 21099,87000.0,2001.0,223000.0,седан,1.5,70.0,механика,бензин,АИ-92,7.7,передний,14.0,155.0,Россия,B,серебристый,не требует ремонта,3,оригинал
LADA (ВАЗ) 2108,50000.0,2000.0,307000.0,хэтчбек 3 дв.,1.3,64.0,механика,бензин,АИ-92,nan,передний,16.0,148.0,Россия,B,белый,не требует ремонта,3,оригинал
Hyundai ix35 I Рестайлинг,1049000.0,2014.0,78000.0,внедорожник 5 дв.,2.0,150.0,автомат,бензин,АИ-95,8.8,полный,11.7,175.0,Южная Корея,J,белый,не требует ремонта,1,оригинал
Land Rover Range Rover Evoque  I 6-speed,1250000.0,2012.0,152000.0,внедорожник 3 дв.,2.2,150.0,автомат,дизель,ДТ,7.0,полный,9.6,182.0,Великобритания,J,красный,не требует ремонта,2,оригинал
Audi Q3 I,1098000.0,2013.0,84000.0,внедорожник 5 дв.,2.0,170.0,робот,бензин,АИ-95,7.7,полный,7.8,212.0,Германия,J,оранжевый,не требует ремонта,3,оригинал
Audi Q7 I,650000.0,2007.0,206000.0,внедорожник 5 дв.,4.2,350.0,автомат,бензин,АИ-98,13.3,полный,7.4,244.0,Германия,J,серый,не требует ремонта,3,дубликат
Mercedes-Benz SL-klasse  V (R230) 350,1199000.0,2003.0,130000.0,родстер,3.7,245.0,автомат,бензин,АИ-95,11.7,задний,7.2,250.0,Германия,S,чёрный,не требует ремонта,3,дубликат
Ford Fiesta Mk6 Рестайлинг,539000.0,2015.0,57000.0,хэтчбек 5 дв.,1.6,105.0,механика,бензин,АИ-95,5.9,передний,11.4,182.0,США,B,белый,не требует ремонта,1,оригинал
SsangYong Actyon II,620000.0,2012.0,109000.0,внедорожник 5 дв.,2.0,149.0,автомат,дизель,ДТ,7.5,полный,11.0,184.0,Южная Корея,J,серебристый,не требует ремонта,2,оригинал
SsangYong Actyon II,638000.0,2011.0,92000.0,внедорожник 5 дв.,2.0,175.0,автомат,дизель,ДТ,7.3,передний,10.8,186.0,Южная Корея,J,серый,не требует ремонта,2,оригинал
SsangYong Actyon II,650000.0,2011.0,85000.0,внедорожник 5 дв.,2.0,149.0,автомат,дизель,ДТ,7.3,передний,11.0,174.0,Южная Корея,J,серебристый,не требует ремонта,2,оригинал
Lifan Breez (520),208000.0,2008.0,160000.0,седан,1.6,106.0,механика,бензин,АИ-92,7.2,передний,10.5,170.0,Китай,C,серебристый,не требует ремонта,1,оригинал
Citroen C4 II,488000.0,2011.0,43000.0,хэтчбек 5 дв.,1.6,120.0,автомат,бензин,АИ-95,6.9,передний,12.5,188.0,Франция,C,серебристый,не требует ремонта,3,дубликат
Mitsubishi Pajero IV,998000.0,2008.0,211000.0,внедорожник 5 дв.,3.8,250.0,автомат,бензин,АИ-95,13.5,полный,10.8,200.0,Япония,J,красный,не требует ремонта,1,оригинал
Volvo XC90 I Рестайлинг,1390000.0,2013.0,103000.0,внедорожник 5 дв.,2.5,210.0,автомат,бензин,АИ-95,11.4,полный,9.9,210.0,Швеция,J,зелёный,не требует ремонта,1,оригинал
Volkswagen Touareg II Рестайлинг,1950000.0,2015.0,93000.0,внедорожник 5 дв.,3.6,249.0,автомат,бензин,АИ-95,10.9,полный,8.4,220.0,Германия,J,серебристый,не требует ремонта,2,оригинал
Volkswagen Tiguan I,670000.0,2009.0,160000.0,внедорожник 5 дв.,2.0,170.0,автомат,бензин,АИ-95,9.9,полный,9.9,197.0,Германия,J,белый,не требует ремонта,2,оригинал
Volkswagen Tiguan I Рестайлинг,770000.0,2011.0,130000.0,внедорожник 5 дв.,2.0,170.0,автомат,бензин,АИ-95,9.9,полный,9.9,197.0,Германия,J,белый,не требует ремонта,3,дубликат
Volkswagen Amarok Double Cab I full-time,1150000.0,2013.0,120000.0,пикап двойная кабина,2.0,180.0,автомат,дизель,ДТ,8.3,полный,10.9,179.0,Германия,J,коричневый,не требует ремонта,2,оригинал
Volkswagen Transporter T3,180000.0,1989.0,206000.0,минивэн,1.7,57.0,механика,nan,дизель,nan,ДТ,nan,115.0,Германия,M,жёлтый,не требует ремонта,3,оригинал
Hyundai Accent  II (ТагАЗ) ТагАЗ,205000.0,2006.0,180000.0,седан,1.5,102.0,механика,бензин,АИ-92,7.5,передний,10.5,181.0,Южная Корея,B,красный,не требует ремонта,3,оригинал
Toyota Verso I,675000.0,2010.0,186000.0,компактвэн,1.8,147.0,вариатор,бензин,АИ-95,7.1,передний,11.1,185.0,Япония,M,белый,не требует ремонта,2,оригинал
Opel Insignia I,750000.0,2013.0,99400.0,седан,1.8,140.0,механика,бензин,АИ-95,7.7,передний,11.4,207.0,Германия,D,серебристый,не требует ремонта,3,оригинал
Opel Antara I Рестайлинг,748000.0,2012.0,122000.0,внедорожник 5 дв.,2.4,167.0,автомат,бензин,АИ-95,9.3,полный,11.0,175.0,Германия,J,чёрный,не требует ремонта,2,оригинал
Opel Antara I,539000.0,2008.0,137000.0,внедорожник 5 дв.,2.4,140.0,автомат,бензин,АИ-95,9.4,передний,11.8,175.0,Германия,J,серебристый,не требует ремонта,3,оригинал
Toyota Camry V (XV30),545000.0,2004.0,410000.0,седан,3.0,186.0,автомат,бензин,АИ-95,11.0,передний,9.1,225.0,Япония,E,серый,не требует ремонта,3,оригинал
Mitsubishi Outlander I,535000.0,2008.0,156000.0,внедорожник 5 дв.,2.0,136.0,механика,бензин,АИ-95,9.4,полный,11.4,192.0,Япония,J,чёрный,не требует ремонта,3,оригинал
Hyundai Elantra IV (HD),425000.0,2010.0,105000.0,седан,1.6,122.0,механика,бензин,АИ-92,6.2,передний,11.6,183.0,Южная Корея,C,серебристый,не требует ремонта,3,оригинал
Nissan Teana II Рестайлинг,700000.0,2012.0,109000.0,седан,2.5,182.0,вариатор,бензин,АИ-92,9.5,передний,9.6,200.0,Япония,D,серебристый,не требует ремонта,3,дубликат
Ford Focus II,325000.0,2008.0,158000.0,седан,1.8,125.0,механика,бензин,АИ-95,nan,передний,10.6,193.0,США,C,голубой,не требует ремонта,1,оригинал
Ford Focus II,380000.0,2008.0,135000.0,универсал 5 дв.,1.6,115.0,механика,бензин,АИ-95,6.4,передний,10.9,193.0,США,C,чёрный,не требует ремонта,3,дубликат
Ford Mondeo IV Рестайлинг,648000.0,2012.0,140000.0,седан,2.0,200.0,робот,бензин,АИ-95,7.7,передний,7.9,232.0,США,D,чёрный,не требует ремонта,2,оригинал
Ford Focus III,530000.0,2013.0,92000.0,хэтчбек 5 дв.,1.6,105.0,робот,бензин,АИ-95,6.4,передний,13.1,182.0,США,C,красный,не требует ремонта,1,оригинал
Ford Focus III,560000.0,2014.0,88000.0,седан,1.6,105.0,механика,бензин,АИ-95,6.0,передний,12.4,189.0,США,C,чёрный,не требует ремонта,2,оригинал
Ford Kuga II,1080000.0,2016.0,98000.0,внедорожник 5 дв.,1.6,150.0,автомат,бензин,АИ-95,7.7,полный,10.7,192.0,США,J,белый,не требует ремонта,1,оригинал
Ford Kuga II Рестайлинг,1275000.0,2017.0,6000.0,внедорожник 5 дв.,2.5,150.0,автомат,бензин,АИ-95,8.1,передний,10.7,185.0,США,J,серый,не требует ремонта,1,оригинал
Audi Q3 I,970000.0,2012.0,41287.0,внедорожник 5 дв.,2.0,170.0,робот,бензин,АИ-95,7.7,полный,7.8,212.0,Германия,J,белый,не требует ремонта,1,оригинал
Hyundai i30 II,595000.0,2013.0,100000.0,хэтчбек 5 дв.,1.6,130.0,механика,бензин,АИ-95,6.4,передний,10.9,192.0,Южная Корея,C,белый,не требует ремонта,1,оригинал
Nissan Sentra VII (B17),690000.0,2015.0,43000.0,седан,1.6,117.0,механика,бензин,АИ-95,6.4,передний,10.6,192.0,Япония,C,чёрный,не требует ремонта,2,оригинал
Ford Focus III,550000.0,2012.0,67000.0,хэтчбек 5 дв.,1.6,105.0,робот,бензин,АИ-95,6.4,передний,13.1,182.0,США,C,серый,не требует ремонта,3,оригинал
Toyota Camry VIII (XV70),1990000.0,2018.0,5000.0,седан,2.5,181.0,автомат,бензин,АИ-95,8.3,передний,9.9,210.0,Япония,D,коричневый,не требует ремонта,1,оригинал
Opel Astra J Рестайлинг,699000.0,2013.0,73985.0,седан,1.6,180.0,автомат,бензин,АИ-95,7.2,передний,9.2,213.0,Германия,C,коричневый,не требует ремонта,2,оригинал
Ford Focus II,295000.0,2007.0,225000.0,хэтчбек 3 дв.,1.6,100.0,автомат,бензин,АИ-95,7.5,передний,13.6,172.0,США,C,чёрный,не требует ремонта,3,оригинал
Mercedes-Benz GLE Coupe  350 d,4250000.0,2017.0,25000.0,внедорожник 5 дв.,3.0,249.0,автомат,дизель,ДТ,7.2,полный,7.0,226.0,Германия,J,чёрный,не требует ремонта,1,оригинал
Renault Duster I,560000.0,2013.0,90000.0,внедорожник 5 дв.,2.0,135.0,автомат,бензин,АИ-95,8.3,передний,11.2,168.0,Франция,J,бежевый,не требует ремонта,2,оригинал
Hyundai Verna II,310000.0,2006.0,182000.0,седан,1.4,97.0,автомат,бензин,АИ-92,6.9,передний,14.5,168.0,Южная Корея,B,серебристый,не требует ремонта,2,оригинал
Daewoo Matiz I Рестайлинг,155000.0,2010.0,66000.0,хэтчбек 5 дв.,0.8,52.0,механика,бензин,АИ-92,6.8,передний,17.0,144.0,Южная Корея,A,золотистый,не требует ремонта,3,дубликат
Chevrolet Lanos I,110000.0,2007.0,160000.0,седан,1.5,86.0,механика,бензин,АИ-92,6.7,передний,12.5,172.0,США,B,серебристый,не требует ремонта,3,дубликат
Subaru Impreza WRX III,500000.0,2008.0,130000.0,хэтчбек 5 дв.,2.5,265.0,механика,бензин,АИ-95,10.4,полный,6.0,209.0,Япония,C,серебристый,не требует ремонта,2,оригинал
Datsun mi-DO,338000.0,2015.0,67750.0,хэтчбек 5 дв.,1.6,87.0,механика,бензин,АИ-95,7.0,передний,12.0,170.0,Япония,B,оранжевый,не требует ремонта,2,оригинал
Infiniti Q70 I Рестайлинг,1459000.0,2014.0,86000.0,седан,2.5,221.0,автомат,бензин,АИ-95,9.9,задний,9.2,231.0,Япония,E,чёрный,не требует ремонта,2,оригинал
Ford Mondeo IV Рестайлинг,690000.0,2012.0,86000.0,седан,2.0,200.0,робот,бензин,АИ-95,7.7,передний,7.9,232.0,США,D,чёрный,не требует ремонта,3,оригинал
SsangYong Rexton III,1075000.0,2013.0,95000.0,внедорожник 5 дв.,2.7,186.0,автомат,дизель,ДТ,9.2,полный,11.3,181.0,Южная Корея,J,белый,не требует ремонта,1,оригинал
BMW 7 серия Long V (F01/F02/F04) Рестайлинг 740Li xDrive,1650000.0,2013.0,148000.0,седан,3.0,320.0,автомат,бензин,АИ-95,8.3,полный,5.6,250.0,Германия,F,чёрный,не требует ремонта,3,дубликат
Mazda CX-7 I Рестайлинг,815000.0,2012.0,104510.0,внедорожник 5 дв.,2.3,238.0,автомат,бензин,АИ-95,11.5,полный,8.3,181.0,Япония,J,белый,не требует ремонта,2,оригинал
Subaru XV I,799000.0,2012.0,144450.0,внедорожник 5 дв.,2.0,150.0,механика,бензин,АИ-95,8.0,полный,10.5,187.0,Япония,J,чёрный,не требует ремонта,1,оригинал
Hyundai Solaris I Рестайлинг,550000.0,2015.0,35000.0,седан,1.6,123.0,механика,бензин,АИ-92,6.1,передний,10.3,190.0,Южная Корея,B,белый,не требует ремонта,1,оригинал
LADA (ВАЗ) Priora I,169000.0,2008.0,150000.0,седан,1.6,98.0,механика,бензин,АИ-95,7.2,передний,11.5,183.0,Россия,C,чёрный,не требует ремонта,3,оригинал
BMW X6 M I (E71) Рестайлинг,2280000.0,2013.0,115100.0,внедорожник 5 дв.,4.4,555.0,автомат,бензин,АИ-98,13.9,полный,4.7,250.0,Германия,J,чёрный,не требует ремонта,3,оригинал
SEAT Ibiza IV,364000.0,2009.0,106707.0,хэтчбек 5 дв.,1.4,85.0,механика,бензин,АИ-95,5.9,передний,11.8,177.0,Испания,B,жёлтый,не требует ремонта,3,оригинал
SEAT Leon III,530000.0,2013.0,133000.0,хэтчбек 5 дв.,1.2,105.0,механика,бензин,АИ-95,5.2,передний,10.1,191.0,Испания,C,белый,не требует ремонта,3,дубликат
Ford Focus III,470000.0,2011.0,77000.0,седан,1.6,105.0,робот,бензин,АИ-95,6.4,передний,13.2,184.0,США,C,белый,не требует ремонта,3,оригинал
Daewoo Nexia I Рестайлинг,100000.0,2011.0,200000.0,седан,1.5,80.0,механика,бензин,АИ-92,8.1,передний,12.5,175.0,Южная Корея,C,красный,не требует ремонта,3,оригинал
Opel Corsa D Рестайлинг II,395000.0,2011.0,31000.0,хэтчбек 3 дв.,1.2,85.0,робот,бензин,АИ-95,5.1,передний,14.9,172.0,Германия,B,белый,не требует ремонта,1,оригинал
Toyota Camry VI (XV40) Рестайлинг,655000.0,2009.0,291689.0,седан,2.4,167.0,механика,бензин,АИ-95,8.5,передний,9.1,210.0,Япония,E,белый,не требует ремонта,2,оригинал
Hyundai Accent  II (ТагАЗ) ТагАЗ,170000.0,2005.0,220000.0,седан,1.5,102.0,механика,бензин,АИ-92,7.5,передний,10.5,181.0,Южная Корея,B,чёрный,не требует ремонта,3,оригинал
Honda Accord VIII Рестайлинг,875000.0,2012.0,124126.0,седан,2.4,200.0,автомат,бензин,АИ-95,8.6,передний,9.7,227.0,Япония,D,белый,не требует ремонта,2,оригинал
LADA (ВАЗ) 2115,95000.0,2005.0,149000.0,седан,1.5,78.0,механика,бензин,АИ-95,7.2,передний,14.0,165.0,Россия,C,серебристый,не требует ремонта,3,оригинал
LADA (ВАЗ) 2114,200000.0,2011.0,95000.0,хэтчбек 5 дв.,1.6,81.0,механика,бензин,АИ-95,7.6,передний,13.5,160.0,Россия,B,белый,не требует ремонта,2,оригинал
Mazda 3 I (BK) Рестайлинг,235000.0,2007.0,215000.0,хэтчбек 5 дв.,1.6,105.0,механика,бензин,АИ-95,6.9,передний,11.2,182.0,Япония,C,чёрный,не требует ремонта,3,оригинал
Chevrolet Niva I Рестайлинг,450000.0,2014.0,93000.0,внедорожник 5 дв.,1.7,80.0,механика,бензин,АИ-95,10.8,полный,19.0,140.0,США,J,белый,не требует ремонта,1,оригинал
Daewoo Nexia I,57000.0,2005.0,310000.0,седан,1.5,85.0,механика,бензин,АИ-92,7.1,передний,11.0,185.0,Южная Корея,C,синий,не требует ремонта,3,дубликат
Toyota Land Cruiser Prado 90 Series,470000.0,1997.0,430000.0,внедорожник 5 дв.,3.4,178.0,механика,бензин,АИ-95,nan,полный,10.9,180.0,Япония,J,зелёный,не требует ремонта,3,дубликат
Toyota Auris I Рестайлинг,640000.0,2011.0,48000.0,хэтчбек 5 дв.,1.6,124.0,автомат,бензин,АИ-95,7.1,передний,11.9,190.0,Япония,C,красный,не требует ремонта,2,дубликат
SsangYong Korando III,649000.0,2011.0,123190.0,внедорожник 5 дв.,2.0,175.0,автомат,дизель,ДТ,7.5,полный,11.5,174.0,Южная Корея,J,белый,не требует ремонта,1,оригинал
Mercedes-Benz M-klasse  III (W166) 350 CDI,1670000.0,2011.0,187000.0,внедорожник 5 дв.,3.0,225.0,автомат,nan,дизель,nan,ДТ,nan,nan,Германия,J,серебристый,не требует ремонта,1,оригинал
Volkswagen Tiguan I,685000.0,2011.0,97000.0,внедорожник 5 дв.,1.4,150.0,механика,бензин,АИ-95,8.4,передний,9.6,192.0,Германия,J,белый,не требует ремонта,2,оригинал
"Mercedes-Benz E-klasse  IV (W212, S212, C207) Рестайлинг 200",1600000.0,2015.0,63000.0,купе-хардтоп,2.0,184.0,автомат,бензин,АИ-95,6.0,задний,8.0,240.0,Германия,E,белый,не требует ремонта,2,оригинал
Nissan Teana III,999999.0,2014.0,63000.0,седан,2.5,173.0,вариатор,бензин,АИ-92,7.5,передний,9.8,210.0,Япония,D,серый,не требует ремонта,3,оригинал
Lexus RX  III Рестайлинг 270,1610000.0,2012.0,99565.0,внедорожник 5 дв.,2.7,188.0,автомат,бензин,АИ-95,9.8,передний,11.0,200.0,Япония,J,белый,не требует ремонта,1,оригинал
Toyota Highlander II (U40) Рестайлинг,1250000.0,2011.0,117000.0,внедорожник 5 дв.,3.5,273.0,автомат,бензин,АИ-95,12.4,полный,8.2,180.0,Япония,J,золотистый,не требует ремонта,3,оригинал
LADA (ВАЗ) 2107,53000.0,2007.0,15000.0,седан,1.6,74.0,механика,бензин,АИ-95,8.5,задний,16.0,150.0,Россия,B,белый,не требует ремонта,3,дубликат
Nissan Qashqai I Рестайлинг,625000.0,2012.0,122000.0,внедорожник 5 дв.,1.6,117.0,вариатор,бензин,АИ-95,6.4,передний,13.0,174.0,Япония,J,белый,не требует ремонта,1,оригинал
Mazda 3 I (BK) Рестайлинг,235000.0,2007.0,215000.0,хэтчбек 5 дв.,1.6,105.0,механика,бензин,АИ-95,6.9,передний,11.2,182.0,Япония,C,чёрный,не требует ремонта,3,оригинал
Lexus LX  III 570,2150000.0,2010.0,110500.0,внедорожник 5 дв.,5.7,367.0,автомат,бензин,АИ-95,14.8,полный,7.5,220.0,Япония,J,чёрный,не требует ремонта,3,дубликат
Opel Antara I Рестайлинг,710000.0,2012.0,140000.0,внедорожник 5 дв.,3.0,249.0,автомат,бензин,АИ-95,10.9,полный,8.6,198.0,Германия,J,чёрный,не требует ремонта,3,оригинал
Mercedes-Benz E-klasse AMG  V (W213) 63 AMG S,6500000.0,2018.0,10000.0,седан,4.0,612.0,автомат,бензин,АИ-98,9.1,полный,3.4,250.0,Германия,E,чёрный,не требует ремонта,1,оригинал
Chery Kimo (A1),148000.0,2008.0,73000.0,хэтчбек 5 дв.,1.3,83.0,механика,бензин,АИ-92,6.5,передний,16.0,156.0,Китай,A,красный,не требует ремонта,2,оригинал
Toyota Camry VII (XV50),1090000.0,2013.0,87000.0,седан,3.5,249.0,автомат,бензин,АИ-95,9.3,передний,7.1,210.0,Япония,E,белый,не требует ремонта,3,оригинал
Toyota Crown IX (S140),190000.0,1993.0,170000.0,седан,2.5,180.0,автомат,бензин,АИ-95,nan,задний,nan,12.3,Япония,E,зелёный,не требует ремонта,3,дубликат
Vortex Estina I,159000.0,2009.0,170000.0,седан,2.0,129.0,механика,бензин,АИ-95,6.8,передний,11.2,185.0,Россия,C,серый,не требует ремонта,1,оригинал
Kia Sorento II Рестайлинг,1450000.0,2015.0,84829.0,внедорожник 5 дв.,2.2,197.0,автомат,дизель,ДТ,6.7,полный,9.9,190.0,Южная Корея,J,белый,не требует ремонта,1,оригинал
LADA (ВАЗ) 2114,139000.0,2009.0,189000.0,хэтчбек 5 дв.,1.6,81.0,механика,бензин,АИ-95,7.6,передний,13.5,160.0,Россия,B,серый,не требует ремонта,1,оригинал
Porsche Panamera  I GTS,2650000.0,2012.0,87000.0,хэтчбек 5 дв.,4.8,430.0,робот,бензин,АИ-98,10.9,полный,4.5,288.0,Германия,F,белый,не требует ремонта,2,оригинал
Plymouth Voyager III Grand,185000.0,1999.0,245000.0,минивэн,3.8,166.0,автомат,бензин,АИ-92,nan,полный,nan,13.1,США,M,красный,не требует ремонта,3,оригинал
Daewoo Matiz I Рестайлинг,130000.0,2007.0,115000.0,хэтчбек 5 дв.,0.8,52.0,механика,бензин,АИ-92,6.8,передний,17.0,144.0,Южная Корея,A,бежевый,не требует ремонта,3,оригинал
Chevrolet Niva I Рестайлинг,685000.0,2017.0,15733.0,внедорожник 5 дв.,1.7,80.0,механика,бензин,АИ-95,10.8,полный,19.0,140.0,США,J,серый,не требует ремонта,1,оригинал
Mazda 6 II (GH) Рестайлинг,730000.0,2011.0,148000.0,седан,2.5,170.0,автомат,бензин,АИ-95,8.4,передний,9.5,210.0,Япония,D,белый,не требует ремонта,1,оригинал
Renault Logan II,505000.0,2015.0,101447.0,седан,1.6,82.0,механика,бензин,АИ-95,7.2,передний,11.9,172.0,Франция,B,белый,не требует ремонта,1,оригинал
BMW 5 серия  VI (F10/F11/F07) 535i xDrive,1299000.0,2012.0,50000.0,седан,3.0,306.0,автомат,бензин,АИ-95,8.1,полный,5.9,250.0,Германия,E,белый,не требует ремонта,3,оригинал
Daewoo Nexia I,100000.0,2008.0,160000.0,седан,1.5,80.0,механика,бензин,АИ-92,8.1,передний,12.5,175.0,Южная Корея,C,жёлтый,не требует ремонта,3,оригинал
Volkswagen Passat CC I Рестайлинг,1150000.0,2013.0,91000.0,седан,1.8,152.0,механика,бензин,АИ-95,7.4,передний,8.6,222.0,Германия,E,белый,не требует ремонта,3,дубликат
BMW 3 серия  V (E90/E91/E92/E93) 325i,750000.0,2008.0,164000.0,седан,2.5,218.0,автомат,бензин,АИ-95,8.4,задний,7.7,245.0,Германия,D,серый,не требует ремонта,3,дубликат
Renault Kaptur I,910000.0,2016.0,17500.0,внедорожник 5 дв.,2.0,143.0,механика,бензин,АИ-95,8.0,полный,10.5,185.0,Франция,J,белый,не требует ремонта,1,оригинал
Toyota Tundra II Рестайлинг,4200000.0,2014.0,21000.0,пикап двойная кабина,5.7,381.0,автомат,бензин,АИ-95,nan,полный,nan,nan,Япония,J,белый,не требует ремонта,1,оригинал
Daewoo Sens I,85000.0,2003.0,73000.0,седан,1.3,70.0,механика,бензин,АИ-95,7.2,передний,17.0,162.0,Южная Корея,B,белый,не требует ремонта,2,оригинал
ЗАЗ Chance,160000.0,2009.0,118000.0,седан,1.5,85.0,механика,бензин,АИ-92,6.7,передний,12.5,172.0,Украина,C,синий,не требует ремонта,2,оригинал
Kia Sportage III,880000.0,2013.0,56000.0,внедорожник 5 дв.,2.0,150.0,автомат,бензин,АИ-95,7.9,передний,10.6,182.0,Южная Корея,J,серый,не требует ремонта,2,оригинал
Kia Sorento II,725000.0,2012.0,145500.0,внедорожник 5 дв.,2.4,175.0,механика,бензин,АИ-95,8.5,передний,10.5,190.0,Южная Корея,J,чёрный,не требует ремонта,3,дубликат
LADA (ВАЗ) 2107,90000.0,2011.0,157000.0,седан,1.6,73.0,механика,бензин,АИ-92,8.5,задний,15.0,155.0,Россия,B,белый,не требует ремонта,1,оригинал
Chevrolet Cruze I,480000.0,2011.0,137000.0,седан,1.8,141.0,автомат,бензин,АИ-95,7.8,передний,11.5,190.0,США,C,серебристый,не требует ремонта,3,оригинал
Dodge Caliber I,330000.0,2007.0,200000.0,хэтчбек 5 дв.,1.8,150.0,механика,бензин,АИ-95,7.4,передний,11.9,184.0,США,D,синий,не требует ремонта,3,оригинал
Chevrolet Captiva I Рестайлинг 2,1200000.0,2015.0,155500.0,внедорожник 5 дв.,2.2,184.0,автомат,дизель,ДТ,7.9,полный,11.0,191.0,США,J,белый,не требует ремонта,3,оригинал
Daihatsu YRV I,150000.0,2001.0,225000.0,компактвэн,1.3,140.0,автомат,бензин,АИ-92,nan,полный,nan,6.9,Япония,M,серебристый,не требует ремонта,3,дубликат
LADA (ВАЗ) XRAY I,750000.0,2017.0,2000.0,хэтчбек 5 дв.,1.8,122.0,механика,бензин,АИ-92,7.1,передний,10.3,179.0,Россия,B,белый,не требует ремонта,1,оригинал
LADA (ВАЗ) Vesta I,678000.0,2017.0,2091.0,седан,1.6,106.0,механика,бензин,АИ-92,6.9,передний,11.2,175.0,Россия,B,белый,не требует ремонта,1,оригинал
Nissan Tiida I,300000.0,2008.0,155000.0,седан,1.6,110.0,механика,бензин,АИ-95,nan,передний,10.5,185.0,Япония,C,чёрный,не требует ремонта,2,оригинал
Honda Jazz I Рестайлинг,380000.0,2008.0,119000.0,хэтчбек 5 дв.,1.3,83.0,вариатор,бензин,АИ-95,5.8,передний,14.9,160.0,Япония,B,красный,не требует ремонта,2,оригинал
Chevrolet Aveo II,290000.0,2012.0,144000.0,седан,1.6,115.0,автомат,бензин,АИ-95,7.1,передний,11.7,186.0,США,B,чёрный,не требует ремонта,3,дубликат
Peugeot 308 I,370000.0,2010.0,109000.0,хэтчбек 5 дв.,1.6,120.0,автомат,бензин,АИ-95,7.3,передний,14.5,188.0,Франция,C,белый,не требует ремонта,1,оригинал
LADA (ВАЗ) Granta I,329000.0,2015.0,92716.0,седан,1.6,87.0,механика,бензин,АИ-95,7.0,передний,12.4,167.0,Россия,B,белый,не требует ремонта,1,оригинал
SsangYong Actyon II Рестайлинг,888888.0,2014.0,36269.0,внедорожник 5 дв.,2.0,149.0,автомат,дизель,ДТ,nan,полный,nan,174.0,Южная Корея,J,серый,не требует ремонта,1,оригинал
LADA (ВАЗ) 2114,190000.0,2012.0,120000.0,хэтчбек 5 дв.,1.6,81.0,механика,бензин,АИ-95,7.6,передний,13.5,160.0,Россия,B,синий,не требует ремонта,3,оригинал
Kia Rio  III 6-speed,465000.0,2014.0,91.0,седан,1.6,123.0,механика,бензин,АИ-92,5.9,передний,10.3,190.0,Южная Корея,B,чёрный,не требует ремонта,2,оригинал
LADA (ВАЗ) 2108,45000.0,1994.0,248238.0,хэтчбек 3 дв.,1.5,70.0,механика,бензин,АИ-92,7.7,передний,13.0,156.0,Россия,B,серый,не требует ремонта,2,оригинал
Geely MK I,166000.0,2011.0,145.0,седан,1.5,94.0,механика,бензин,АИ-92,6.8,передний,18.0,165.0,Китай,C,серебристый,не требует ремонта,3,оригинал
Honda CR-V I,215000.0,1996.0,150149.0,внедорожник 5 дв.,2.0,128.0,автомат,бензин,АИ-95,9.9,полный,12.5,170.0,Япония,J,синий,не требует ремонта,3,оригинал
Citroen C4 I Рестайлинг,300000.0,2008.0,145000.0,хэтчбек 5 дв.,1.6,110.0,механика,бензин,АИ-95,7.1,передний,10.6,194.0,Франция,C,красный,не требует ремонта,2,оригинал
Hyundai Sonata  IV (EF) Рестайлинг ТагАЗ,270000.0,2008.0,230000.0,седан,2.7,172.0,механика,бензин,АИ-92,9.7,передний,9.1,216.0,Южная Корея,D,чёрный,не требует ремонта,3,дубликат
Ford Focus II,250000.0,2006.0,160000.0,хэтчбек 3 дв.,1.8,125.0,механика,бензин,АИ-95,nan,передний,10.5,193.0,США,C,чёрный,не требует ремонта,3,дубликат
Chevrolet Lanos I,169000.0,2008.0,99000.0,седан,1.5,86.0,механика,бензин,АИ-92,6.7,передний,12.5,172.0,США,B,серый,не требует ремонта,2,оригинал
Subaru XV I,749000.0,2012.0,109351.0,внедорожник 5 дв.,1.6,114.0,механика,бензин,АИ-95,7.3,полный,13.1,179.0,Япония,J,чёрный,не требует ремонта,3,оригинал
Mazda 3 I (BK),280000.0,2005.0,180000.0,седан,1.6,105.0,автомат,бензин,АИ-95,7.8,передний,12.4,177.0,Япония,C,серый,не требует ремонта,3,оригинал
Ford Escape I Рестайлинг,435000.0,2005.0,175000.0,внедорожник 5 дв.,3.0,203.0,автомат,бензин,АИ-95,nan,полный,10.5,188.0,США,J,жёлтый,не требует ремонта,3,оригинал
Mazda RX-8 I,400000.0,2004.0,30000.0,купе,1.3,192.0,автомат,nan,бензин,nan,АИ-95,nan,nan,Япония,D,белый,не требует ремонта,3,оригинал
Toyota RAV 4 III (XA30) Рестайлинг,950000.0,2010.0,100000.0,внедорожник 5 дв.,2.4,170.0,автомат,бензин,АИ-95,9.6,полный,10.6,180.0,Япония,J,белый,не требует ремонта,2,оригинал
Volkswagen Jetta VI,745000.0,2014.0,45000.0,седан,1.6,105.0,автомат,бензин,АИ-95,7.0,передний,12.5,177.0,Германия,C,белый,не требует ремонта,1,оригинал
Nissan Laurel VI (C33),160000.0,1992.0,300000.0,седан,2.5,200.0,автомат,бензин,АИ-95,nan,задний,nan,8.0,Япония,E,чёрный,не требует ремонта,3,оригинал
"Toyota Corolla X (E140, E150) Рестайлинг",700000.0,2013.0,48000.0,седан,1.6,124.0,автомат,бензин,АИ-95,7.2,передний,11.9,183.0,Япония,C,чёрный,не требует ремонта,1,оригинал
