Модель,Цена,Год выпуска,Пробег,Кузов,Объем,Мощность,Коробка,Тип двигателя,Топливо,Расход,Привод,Разгон,"Максимальная скорость, км/ч",Страна марки,Класс,Цвет,Состояние,Владельцы,ПТС
BMW 7 серия Long III (E38) 728Li,450000.0,1998.0,300000.0,седан,2.8,193.0,автомат,бензин,АИ-95,11.0,задний,9.6,225.0,Германия,F,чёрный,не требует ремонта,3,дубликат
Opel Antara I Рестайлинг,930000.0,2014.0,75000.0,внедорожник 5 дв.,2.2,184.0,автомат,дизель,ДТ,7.8,полный,10.1,191.0,Германия,J,серебристый,не требует ремонта,2,оригинал
Skoda Octavia III,950000.0,2016.0,68000.0,лифтбек,1.4,150.0,робот,бензин,АИ-95,5.3,передний,8.2,219.0,Чехия,C,белый,не требует ремонта,1,оригинал
LADA (ВАЗ) 2110,105000.0,2002.0,133000.0,седан,1.5,90.0,механика,бензин,АИ-95,7.2,передний,12.5,180.0,Россия,B,бежевый,не требует ремонта,3,оригинал
Ford Focus I Рестайлинг,220000.0,2004.0,340000.0,хэтчбек 5 дв.,2.0,131.0,автомат,бензин,АИ-95,nan,передний,10.4,189.0,США,C,чёрный,не требует ремонта,3,дубликат
Renault Symbol I Рестайлинг,165000.0,2005.0,149000.0,седан,1.4,98.0,механика,бензин,АИ-95,nan,передний,11.2,186.0,Франция,B,зелёный,не требует ремонта,3,оригинал
Honda Civic VIII,470000.0,2007.0,146879.0,седан,1.8,140.0,автомат,бензин,АИ-95,6.7,передний,10.4,200.0,Япония,C,пурпурный,не требует ремонта,3,оригинал
Kia Sportage II,550000.0,2008.0,162312.0,внедорожник 5 дв.,2.0,141.0,механика,бензин,АИ-95,9.3,полный,11.3,176.0,Южная Корея,J,серый,не требует ремонта,2,оригинал
Audi A6 III (C6) Рестайлинг,795000.0,2010.0,141000.0,седан,2.8,190.0,вариатор,бензин,АИ-95,8.4,передний,8.3,233.0,Германия,E,чёрный,не требует ремонта,2,оригинал
LADA (ВАЗ) Priora I,260000.0,2012.0,112000.0,хэтчбек 5 дв.,1.6,98.0,механика,бензин,АИ-95,7.2,передний,11.5,183.0,Россия,C,серебристый,не требует ремонта,3,оригинал
Nissan Teana II,655000.0,2010.0,150000.0,седан,2.5,185.0,вариатор,nan,бензин,nan,АИ-92,nan,nan,Япония,D,серебристый,не требует ремонта,3,дубликат
Hyundai Accent  II (ТагАЗ) ТагАЗ,260000.0,2008.0,150000.0,седан,1.5,102.0,механика,бензин,АИ-92,7.5,передний,10.5,181.0,Южная Корея,B,чёрный,не требует ремонта,3,дубликат
LADA (ВАЗ) Granta I,345000.0,2015.0,73000.0,седан,1.6,87.0,механика,бензин,АИ-95,7.0,передний,12.4,167.0,Россия,B,белый,не требует ремонта,1,оригинал
Renault Duster I,565000.0,2012.0,94000.0,внедорожник 5 дв.,2.0,135.0,автомат,бензин,АИ-95,8.3,передний,11.2,168.0,Франция,J,коричневый,не требует ремонта,2,оригинал
Hyundai Creta I,900000.0,2016.0,70000.0,внедорожник 5 дв.,1.6,123.0,автомат,бензин,АИ-95,7.1,передний,12.1,169.0,Южная Корея,J,белый,не требует ремонта,2,оригинал
Volvo S40 II,350000.0,2006.0,108000.0,седан,1.6,100.0,механика,бензин,АИ-95,nan,передний,11.9,185.0,Швеция,C,красный,не требует ремонта,3,оригинал
LADA (ВАЗ) 2110,85000.0,2000.0,164000.0,седан,1.5,94.0,механика,бензин,АИ-95,7.2,передний,12.5,180.0,Россия,B,серебристый,не требует ремонта,3,оригинал
Kia Soul II,950000.0,2016.0,22000.0,хэтчбек 5 дв.,1.6,124.0,автомат,бензин,АИ-95,7.9,передний,12.5,177.0,Южная Корея,J,чёрный,не требует ремонта,1,оригинал
Mazda 323 VI (BJ),138000.0,1999.0,330000.0,хэтчбек 5 дв.,1.5,88.0,механика,бензин,АИ-95,nan,передний,11.9,175.0,Япония,C,серебристый,не требует ремонта,3,дубликат
Geely Emgrand EC7,340000.0,2013.0,61005.0,седан,1.5,98.0,механика,бензин,АИ-92,6.7,передний,15.0,165.0,Китай,D,белый,не требует ремонта,1,оригинал
Hyundai Accent  II (ТагАЗ) ТагАЗ,180000.0,2006.0,309000.0,седан,1.5,102.0,механика,бензин,АИ-92,7.5,передний,10.5,181.0,Южная Корея,B,серебристый,не требует ремонта,2,оригинал
Mazda 6 I (GG) Рестайлинг,350000.0,2007.0,220000.0,седан,2.0,147.0,автомат,бензин,АИ-95,nan,передний,10.7,201.0,Япония,D,чёрный,не требует ремонта,3,оригинал
Land Rover Range Rover Sport I Рестайлинг,1390000.0,2011.0,128000.0,внедорожник 5 дв.,3.0,245.0,автомат,дизель,ДТ,9.2,полный,9.3,193.0,Великобритания,J,чёрный,не требует ремонта,3,оригинал
LADA (ВАЗ) Granta I,430000.0,2018.0,12500.0,седан,1.6,87.0,механика,бензин,АИ-95,7.0,передний,12.4,167.0,Россия,B,чёрный,не требует ремонта,1,оригинал
Peugeot 207 I,330000.0,2009.0,111933.0,хэтчбек 3 дв.,1.4,90.0,робот,бензин,АИ-95,6.4,передний,12.3,180.0,Франция,B,чёрный,не требует ремонта,3,дубликат
Mazda 3 I (BK),340000.0,2005.0,156000.0,седан,1.6,105.0,автомат,бензин,АИ-95,7.8,передний,12.4,177.0,Япония,C,красный,не требует ремонта,3,дубликат
